基金代碼,特徵1_國內外,特徵2_產業別,特徵3_高收益債,特徵4_高風險,特徵5_熱門基金,特徵6_基金型態別,特徵7_高報酬
100,國內,,,,,a.股票型,
101,國內,,,,,a.股票型,
103,國內,,,,,a.股票型,
111,國內,,,,,c.貨幣型,
120,國內,,,,,c.貨幣型,
132,國內,網路軟體及服務,,高風險,,a.股票型,今年來報酬率大於10%
135,國內,水資源,,,,a.股票型,
136,國內,美國投資等級債券,,,,e.組合型,
137,國內,新興拉美,,高風險,,e.組合型,
139,國內,原物料,,高風險,,a.股票型,
142,國內,其他,,,,a.股票型,
145,國內,指數股票型基金,,,,a.股票型,
146,國內,REITS-多元化,,,,a.股票型,
147,國內,工業,,,,a.股票型,
148,國內,,,,,e.組合型,
152,國內,原物料,,,,a.股票型,
153,國內,,,高風險,,a.股票型,
154,國內,,,高風險,,a.股票型,
158,國內,網路軟體及服務,,高風險,,a.股票型,
160,國內,網路軟體及服務,,高風險,,a.股票型,今年來報酬率大於10%
161,國內,通訊,高收益債,,,b.債券型,
162,國內,通訊,高收益債,,,b.債券型,
163,國內,半導體業,,高風險,,a.股票型,今年來報酬率大於10%
165,國內,投資級公司債券,,,,e.組合型,
167,國內,,,,,a.股票型,
168,國內,,,,,a.股票型,
169,國內,工業,,高風險,,a.股票型,今年來報酬率大於10%
173,國內,其他,,高風險,,g.指數型,
175,國內,,,,,f.期貨型,
176,國內,消費品,,高風險,,a.股票型,今年來報酬率大於10%
179,國內,共同基金,,,,e.組合型,
180,國內,共同基金,,,,e.組合型,
181,國內,,,,,a.股票型,
182,國內,原物料,高收益債,,,b.債券型,
183,國內,原物料,高收益債,,,b.債券型,
185,國內,消費品,,高風險,,a.股票型,
186,國內,其他,,高風險,,g.指數型,
187,國內,資訊技術,,高風險,,g.指數型,
188,國內,非日常生活消費品,,高風險,,g.指數型,
191,國內,債券,,,,f.期貨型,
192,國內,,,,,e.組合型,
194,國內,流動性資金,,,,e.組合型,
198,國內,,,高風險,,a.股票型,
1Y7,國外,資訊科技,,,,a.股票型,今年來報酬率大於10%
200,國內,流動性資金,高收益債,,,b.債券型,
202,國內,耐久財消費,,高風險,,a.股票型,今年來報酬率大於10%
204,國內,金融債,高收益債,,,b.債券型,
205,國內,金融債,高收益債,,,b.債券型,
207,國內,政府公債,,,,b.債券型,
208,國內,政府公債,,,,b.債券型,
209,國內,循環消費,高收益債,,,b.債券型,
