更新時間,yyyymmdd,基金代碼,國內外基金註記,基金規模(台幣/億),基金目前規模區間,基金成立時間,基金成立幾年,基金公司代碼,計價幣別,基金經理人,區域別,基金投資產業分類1,基金投資產業分類2,基金投資產業分類3,aum基金型態別,商品投資屬性,高收益債註記,保本型基金註記,淨值,sharpe,beta,一個月累積報酬率(%),三個月累積報酬率(%),六個月累積報酬率(%),一年累積報酬率(%),三年累積報酬率(%),五年累積報酬率(%),自今年以來報酬率(%),自成立日起報酬率(%),基金評等,熱賣基金註記,投資型態別,cluster
2017-05-26 10:21:00,20170526,100,0.0,12.8,d.10~100億元台幣,1994-11-01 00:00:00,23.0,FH,TWD,蔡致行,TW  ,,,,E,RR4,0.0,N,38.37,0.35,1.36,5.18,3.51,8.18,16.77,-10.54,8.91,9.38,282.93,1.5,0,a.股票型,1
2017-05-26 10:21:00,20170526,101,0.0,8.78,c.5~10億元台幣,1995-02-27 00:00:00,22.0,FH,TWD,廖浩君,TW  ,,,,E,RR4,0.0,N,52.55,0.45,1.19,3.83,3.44,8.08,17.09,3.92,38.87,9.41,425.5,2.5,0,a.股票型,1
2017-05-26 10:21:00,20170526,103,0.0,9.84,c.5~10億元台幣,1998-02-04 00:00:00,19.0,FH,TWD,廖浩君,TW  ,,,,E,RR4,0.0,N,19.37,0.49,1.08,3.69,3.03,8.09,17.18,2.98,40.36,9.19,93.7,2.0,0,a.股票型,1
2017-05-26 10:21:00,20170526,107,0.0,3.19,b.1~5億元台幣,1999-12-07 00:00:00,18.0,FH,TWD,陳富立,TW  ,,,,E,RR4,0.0,N,17.44,0.46,1.2,3.69,5.19,9.27,17.52,3.13,57.69,10.17,74.4,2.5,0,a.股票型,1
2017-05-26 10:21:00,20170526,111,0.0,376.55,e.100~500億元台幣,1996-06-14 00:00:00,21.0,FH,TWD,楊珮汝,TW  ,,,,M,RR1,0.0,N,15.56,-8.55,0.0,0.03,0.08,0.16,0.29,1.25,2.49,0.13,55.64,3.0,0,c.貨幣型,1
2017-05-26 10:21:00,20170526,118,0.0,7.53,c.5~10億元台幣,1997-06-16 00:00:00,20.0,FH,TWD,徐翊達,TW  ,,,,E,RR5,0.0,N,9.44,0.26,1.02,4.66,2.94,11.06,12.92,-12.27,21.81,10.8,-5.6,1.5,0,a.股票型,1
2017-05-26 10:05:00,20170526,120,0.0,368.84,e.100~500億元台幣,1999-06-07 00:00:00,18.0,TS,TWD,楊麗靖,TW  ,,,,M,RR1,0.0,N,13.42,-10.99,0.0,0.03,0.08,0.15,0.29,1.32,2.62,0.12,34.16,3.5,0,c.貨幣型,1
2017-05-26 10:30:00,20170526,131,0.0,4.64,b.1~5億元台幣,1993-03-04 00:00:00,24.0,JF,TWD,葉鴻儒,TW  ,,,,E,RR4,0.0,N,10.61,0.11,1.62,3.92,-5.18,-2.21,6.1,8.51,42.39,-2.48,513.26,1.5,0,a.股票型,1
2017-05-26 10:30:00,20170526,132,0.0,59.82,d.10~100億元台幣,2006-07-25 00:00:00,11.0,JF,TWD,蓋欣聖,TW  ,其他,商業銀行,網路軟體及服務,E,RR5,0.0,N,12.13,0.56,0.72,4.21,7.82,13.68,23.4,4.21,24.03,10.88,21.3,4.5,0,a.股票型,1
2017-05-26 10:10:00,20170526,135,0.0,95.77,d.10~100億元台幣,2006-10-11 00:00:00,11.0,TT,TWD,洪華珍,TW  ,節能/自動化相關,汽車節能/排氣控制,水資源,E,RR4,0.0,N,8.56,0.08,0.11,1.66,3.51,2.64,2.39,-10.37,29.5,1.42,-14.4,3.0,0,a.股票型,1
